Severed Steel: Обзор;Игорь Ерышев;Max Payne, подвинься;23 сентября 2021;https://stopgame.ru/show/122011/severed_steel_review
OPUS: Echo of Starsong: Обзор;Кирилл Волошин;Сквозь слёзы я слушаю её голос;10 сентября 2021;https://stopgame.ru/show/121936/opus_echo_of_starsong_review
Tales of Arise: Обзор;Кирилл Волошин;Пять причин, почему это лучшая JRPG года;8 сентября 2021;https://stopgame.ru/show/121926/tales_of_arise_review
Black Book: Обзор;Катерина Краснопольская;Претендент на лучшую игру года;21 августа 2021;https://stopgame.ru/show/121596/black_book_review
The Great Ace Attorney Chronicles: Обзор;Игорь Ерышев;Два шедевра по цене одного;7 августа 2021;https://stopgame.ru/show/121492/the_great_ace_attorney_chronicles_review
HighFleet: Обзор;Степан Песков;Русский императорский дизельпанк;29 июля 2021;https://stopgame.ru/show/121312/highfleet_review
Death's Door: Обзор;Алексей Лихачев;Одно из самых атмосферных приключений года;24 июля 2021;https://stopgame.ru/show/121129/death_s_door_review
Wildermyth: Обзор;Кирилл Волошин;RPG, где стареют, влюбляются и выходят на пенсию;5 июля 2021;https://stopgame.ru/show/120915/wildermyth_review
;Алексей Лихачев;;22 июня 2021;https://stopgame.ru/show/120605/chicory_a_colorful_tale_review
;Кирилл Волошин;;20 июня 2021;https://stopgame.ru/show/120602/griftlands_review
;Алексей Лихачев;;16 июня 2021;https://stopgame.ru/show/120217/astalon_tears_of_the_earth_review
;Кирилл Волошин;;11 июня 2021;https://stopgame.ru/show/120210/lacuna_review
;Кирилл Волошин;;30 апреля 2021;https://stopgame.ru/show/119126/the_legend_of_heroes_trails_of_cold_steel_4_review
;Алексей Лихачев;;27 марта 2021;https://stopgame.ru/show/118155/monster_hunter_rise_review
;Алексей Лихачев;;19 марта 2021;https://stopgame.ru/show/118087/kaze_and_the_wild_masks_review
;Кирилл Волошин;;13 февраля 2021;https://stopgame.ru/show/117105/atelier_ryza_2_lost_legends_the_secret_fairy_review
;Алексей Лихачев;;10 февраля 2021;https://stopgame.ru/show/117063/super_mario_3d_world_bowser_s_fury_review
;Кирилл Волошин;;3 февраля 2021;https://stopgame.ru/show/116836/skul_the_hero_slayer_review
;Алексей Лихачев;;25 января 2021;https://stopgame.ru/show/116473/cyber_shadow_review
;Игорь Ерышев;;22 января 2021;https://stopgame.ru/show/116468/hitman_world_of_assassination_review
;Кирилл Волошин;;7 января 2021;https://stopgame.ru/show/116190/omori_review
;Кирилл Волошин;;22 декабря 2020;https://stopgame.ru/show/115818/unto_the_end_review
;Кирилл Волошин;;23 ноября 2020;https://stopgame.ru/show/115013/the_last_show_of_mr_chardish_review
;Алексей Лихачев;;19 ноября 2020;https://stopgame.ru/show/114867/tetris_effect_connected_review
;Кирилл Волошин;;5 ноября 2020;https://stopgame.ru/show/114649/crown_trick_review
;Алексей Лихачев;;22 октября 2020;https://stopgame.ru/show/114292/disc_room_review
;Кирилл Волошин;;12 октября 2020;https://stopgame.ru/show/114099/genshin_impact_review
;Игорь Ерышев;;5 октября 2020;https://stopgame.ru/show/113958/among_us_review
;Кирилл Волошин;;30 сентября 2020;https://stopgame.ru/show/113864/star_renegades_review
;Алексей Лихачев;;28 сентября 2020;https://stopgame.ru/show/113821/hades_review
;Алексей Лихачев;;27 сентября 2020;https://stopgame.ru/show/113764/13_sentinels_aegis_rim_review
